# == pyFAI calibration ==
# Distance Sample to Detector: 0.30723295647962184 m
# PONI: 2.002e-01, 1.996e-01 m
# Rotations: -0.005249 0.007516 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 307.246 mm
# Center: x=1005.963, y=1012.551 pix
# Tilt: 0.525 deg  TiltPlanRot: 55.072 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.000e-04, 2.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.199e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ./output//CeO2-std-4.0s-300.0mm-56301-primary-pe1_image-00000.tiff.txt
#       2th_deg             I 
  1.210969e+01    1.631691e+03
  1.213091e+01    1.625521e+03
  1.215214e+01    1.620401e+03
  1.217336e+01    1.614189e+03
  1.219459e+01    1.609206e+03
  1.221582e+01    1.604989e+03
  1.223704e+01    1.600453e+03
  1.225827e+01    1.595582e+03
  1.227950e+01    1.588991e+03
  1.230072e+01    1.584670e+03
  1.232195e+01    1.580761e+03
  1.234318e+01    1.575129e+03
  1.236440e+01    1.570332e+03
  1.238563e+01    1.565799e+03
  1.240686e+01    1.561653e+03
  1.242808e+01    1.556905e+03
  1.244931e+01    1.551901e+03
  1.247053e+01    1.548342e+03
  1.249176e+01    1.543789e+03
  1.251299e+01    1.540987e+03
  1.253421e+01    1.538587e+03
  1.255544e+01    1.536049e+03
  1.257667e+01    1.534110e+03
  1.259789e+01    1.531608e+03
  1.261912e+01    1.529692e+03
  1.264035e+01    1.526909e+03
  1.266157e+01    1.524095e+03
  1.268280e+01    1.523823e+03
  1.270403e+01    1.522824e+03
  1.272525e+01    1.522257e+03
  1.274648e+01    1.522341e+03
  1.276770e+01    1.522676e+03
  1.278893e+01    1.523098e+03
  1.281016e+01    1.524011e+03
  1.283138e+01    1.526395e+03
  1.285261e+01    1.528238e+03
  1.287384e+01    1.533509e+03
  1.289506e+01    1.544233e+03
  1.291629e+01    1.563284e+03
  1.293752e+01    1.603205e+03
  1.295874e+01    1.688065e+03
  1.297997e+01    1.877472e+03
  1.300120e+01    2.321596e+03
  1.302242e+01    3.329586e+03
  1.304365e+01    5.566932e+03
  1.306487e+01    9.777227e+03
  1.308610e+01    1.632132e+04
  1.310733e+01    2.408596e+04
  1.312855e+01    2.991361e+04
  1.314978e+01    3.097117e+04
  1.317101e+01    2.670806e+04
  1.319223e+01    1.929668e+04
  1.321346e+01    1.217198e+04
  1.323469e+01    7.027103e+03
  1.325591e+01    4.073290e+03
  1.327714e+01    2.623571e+03
  1.329837e+01    1.964754e+03
  1.331959e+01    1.682493e+03
  1.334082e+01    1.554813e+03
  1.336205e+01    1.496076e+03
  1.338327e+01    1.465366e+03
  1.340450e+01    1.447377e+03
  1.342572e+01    1.435764e+03
  1.344695e+01    1.426089e+03
  1.346818e+01    1.417732e+03
  1.348940e+01    1.410574e+03
  1.351063e+01    1.404459e+03
  1.353186e+01    1.397202e+03
  1.355308e+01    1.390724e+03
  1.357431e+01    1.386090e+03
  1.359554e+01    1.381149e+03
  1.361676e+01    1.376825e+03
  1.363799e+01    1.372343e+03
  1.365922e+01    1.367160e+03
  1.368044e+01    1.363317e+03
  1.370167e+01    1.357928e+03
  1.372289e+01    1.352871e+03
  1.374412e+01    1.349860e+03
  1.376535e+01    1.346348e+03
  1.378657e+01    1.343206e+03
  1.380780e+01    1.340635e+03
  1.382903e+01    1.338005e+03
  1.385025e+01    1.334459e+03
  1.387148e+01    1.330021e+03
  1.389271e+01    1.326512e+03
  1.391393e+01    1.322893e+03
  1.393516e+01    1.320262e+03
  1.395639e+01    1.318643e+03
  1.397761e+01    1.315874e+03
  1.399884e+01    1.313398e+03
  1.402006e+01    1.309751e+03
  1.404129e+01    1.305981e+03
  1.406252e+01    1.302984e+03
  1.408374e+01    1.299868e+03
  1.410497e+01    1.297239e+03
  1.412620e+01    1.294039e+03
  1.414742e+01    1.291422e+03
  1.416865e+01    1.289283e+03
  1.418988e+01    1.286463e+03
  1.421110e+01    1.284289e+03
  1.423233e+01    1.282002e+03
  1.425356e+01    1.279332e+03
  1.427478e+01    1.276817e+03
  1.429601e+01    1.273962e+03
  1.431724e+01    1.273076e+03
  1.433846e+01    1.271243e+03
  1.435969e+01    1.267463e+03
  1.438091e+01    1.265424e+03
  1.440214e+01    1.261904e+03
  1.442337e+01    1.259514e+03
  1.444459e+01    1.258686e+03
  1.446582e+01    1.257165e+03
  1.448705e+01    1.254882e+03
  1.450827e+01    1.252888e+03
  1.452950e+01    1.250334e+03
  1.455073e+01    1.247943e+03
  1.457195e+01    1.245770e+03
  1.459318e+01    1.243989e+03
  1.461441e+01    1.241219e+03
  1.463563e+01    1.238606e+03
  1.465686e+01    1.236378e+03
  1.467808e+01    1.234801e+03
  1.469931e+01    1.234360e+03
  1.472054e+01    1.231988e+03
  1.474176e+01    1.230030e+03
  1.476299e+01    1.228875e+03
  1.478422e+01    1.226653e+03
  1.480544e+01    1.224448e+03
  1.482667e+01    1.222487e+03
  1.484790e+01    1.220321e+03
  1.486912e+01    1.218838e+03
  1.489035e+01    1.217010e+03
  1.491158e+01    1.215295e+03
  1.493280e+01    1.214073e+03
  1.495403e+01    1.212568e+03
  1.497525e+01    1.212004e+03
  1.499648e+01    1.210801e+03
  1.501771e+01    1.208913e+03
  1.503893e+01    1.207448e+03
  1.506016e+01    1.206001e+03
  1.508139e+01    1.205557e+03
  1.510261e+01    1.204176e+03
  1.512384e+01    1.201926e+03
  1.514507e+01    1.200447e+03
  1.516629e+01    1.198768e+03
  1.518752e+01    1.197974e+03
  1.520875e+01    1.197208e+03
  1.522997e+01    1.196248e+03
  1.525120e+01    1.195101e+03
  1.527242e+01    1.193077e+03
  1.529365e+01    1.191777e+03
  1.531488e+01    1.190959e+03
  1.533610e+01    1.189352e+03
  1.535733e+01    1.187689e+03
  1.537856e+01    1.186334e+03
  1.539978e+01    1.184516e+03
  1.542101e+01    1.182711e+03
  1.544224e+01    1.181506e+03
  1.546346e+01    1.180024e+03
  1.548469e+01    1.178219e+03
  1.550592e+01    1.176693e+03
